"detector_id","detector_type","detector_status","detector_direction","detector_movement","location_name","atd_location_id","signal_id","created_date","modified_date","ip_comm_status","comm_status_datetime_utc","location_latitude","location_longitude","LOCATION"
"466","LOOP","REMOVED","NORTHBOUND","LEFT TURN"," 7TH ST / PEDERNALES ST","LOC16-001735","354",,"2025 Oct 16 08:25:00 PM",,,,,"POINT (-97.713715 30.260914)"
"5,042","LOOP","REMOVED","EASTBOUND","LEFT TURN"," ANDERSON MILL RD / TWIN CREEKS CLUB DR","LOC16-002780","567","2017 Jun 15 12:00:00 AM","2022 May 23 04:34:00 PM",,,,,"POINT (-97.845169 30.469261)"
"1,219","LOOP","REMOVED","SOUTHBOUND","LEFT TURN"," GRAND AVENUE PKWY / CENTRAL COMMERCE DR","LOC16-001760","359",,"2024 May 16 11:02:00 PM",,,,,"POINT (-97.659927 30.455954)"
"3,914","LOOP","OK","SOUTHBOUND","BICYCLE, THRU / LEFT TURN"," 7TH ST / PROSPECT AVE","LOC16-001730","353","2017 Jun 16 12:00:00 AM","2024 Jun 17 02:33:00 PM",,,,,"POINT (-97.717461 30.261475)"
"3,736","LOOP","REMOVED","EASTBOUND","THRU / RIGHT TURN"," CONGRESS AVE / SHERATON AVE","LOC16-002000","408","2017 Jun 16 12:00:00 AM","2023 Sep 27 02:42:00 PM",,,,,"POINT (-97.768776 30.215157)"
"3,304","LOOP","OK","NORTHBOUND","THRU / RIGHT TURN"," RESEARCH BLVD SVRD / ANDERSON SQ","LOC16-003425","695","2017 Jun 23 12:00:00 AM","2023 Dec 16 08:34:00 PM",,,,,"POINT (-97.714195 30.353102)"
"4,476","VIDEO","OK","EASTBOUND","LEFT TURN"," 15TH ST / BRAZOS ST","LOC16-001260","259","2017 Jun 16 12:00:00 AM","2025 Feb 19 06:02:00 PM",,,,,"POINT (-97.738197 30.276548)"
"2,799","LOOP","REMOVED","WESTBOUND","LEFT TURN"," MOPAC EXPY / LA CROSSE AVE","LOC16-003845","782","2017 Jun 23 12:00:00 AM","2023 Jun 19 07:07:00 PM",,,,,"POINT (-97.87455 30.191059)"
"5,752","VIDEO","OK","WESTBOUND","THRU / RIGHT TURN"," LAMAR BLVD / OLTORF ST","LOC16-000610","123","2017 Sep 11 12:00:00 AM","2025 Jan 06 11:34:00 PM",,,,,"POINT (-97.769951 30.248413)"
"7,154","LOOP","OK","WESTBOUND","LEFT TURN"," GATTIS SCHOOL RD / LINKS LN","LOC16-005235","1027","2020 Apr 30 12:00:00 AM","2023 Dec 29 10:33:00 PM",,,,,"POINT (-97.600296 30.49728)"
"6,468","LOOP","REMOVED","SOUTHBOUND","LEFT TURN"," MENCHACA RD / OLD MANCHACA RD","LOC16-002735","558","2018 Jul 02 12:00:00 AM","2025 Mar 27 05:49:00 PM",,,,,"POINT (-97.830002 30.164137)"
"299","RADAR - Iteris","OK","SOUTHBOUND","LEFT TURN"," AIRPORT BLVD / GUADALUPE ST","LOC16-000065","14",,"2025 Sep 03 09:49:00 PM",,,,,"POINT (-97.716927 30.33396)"
"3,233","LOOP","OK","SOUTHBOUND","LEFT TURN"," MC KINNEY FALLS PKWY / DEE GABRIEL COLLINS RD","LOC16-003475","705","2017 Jun 23 12:00:00 AM","2023 Dec 17 04:32:00 PM",,,,,"POINT (-97.722061 30.172449)"
"141","LOOP","OK","WESTBOUND","THRU / RIGHT TURN"," RESEARCH BLVD SVRD / ANDERSON SQ","LOC16-003425","695",,"2023 Dec 16 08:33:00 PM",,,,,"POINT (-97.714195 30.353102)"
"1,103","LOOP","REMOVED","NORTHBOUND","THRU / RIGHT TURN"," 38TH HALF ST / 35 SVRD","LOC16-000355","72",,"2020 Jun 14 03:55:00 PM",,,,,"POINT (-97.719383 30.294758)"
"481","VIDEO","OK","WESTBOUND","LEFT TURN"," BURNET RD / RUTLAND DR","LOC16-002260","461",,"2023 Dec 11 11:27:00 PM",,,,,"POINT (-97.724075 30.383427)"
"1,549","LOOP","OK","WESTBOUND","THRU / RIGHT TURN"," HUNTERS CHASE DR / POND SPRINGS RD","LOC16-004880","998","2017 Jun 28 12:00:00 AM","2023 Dec 18 10:50:00 PM",,,,,"POINT (-97.773415 30.441448)"
"6,853","VIDEO","REMOVED","WESTBOUND","THRU / RIGHT TURN"," WESTBANK DR / ALLEN RD","LOC16-004045","822","2019 May 01 12:00:00 AM","2025 Sep 05 05:27:00 PM",,,,,"POINT (-97.812248 30.274342)"
"237","LOOP","OK","NORTHBOUND","THRU / LEFT TURN"," DUVAL RD / RESEARCH BLVD SVRD","LOC16-002990","609",,"2023 Dec 26 01:37:00 PM",,,,,"POINT (-97.746445 30.419102)"
"3,799","LOOP","REMOVED","EASTBOUND","LEFT TURN"," ED BLUESTEIN BLVD / TECHNI CENTER DR","LOC16-003105","629","2017 Jun 16 12:00:00 AM","2020 Jun 23 08:42:00 PM",,,,,"POINT (-97.667915 30.276051)"
"5,801","VIDEO","OK","EASTBOUND","LEFT TURN, THRU / RIGHT TURN"," SPRINGDALE RD / 51ST ST","LOC16-003185","648","2017 Sep 11 12:00:00 AM","2025 Sep 22 05:41:00 PM",,,,,"POINT (-97.677811 30.2936)"
"6,966","LOOP","OK","NORTHBOUND","LEFT TURN"," MENCHACA RD / DAVIS LN","LOC16-000970","196","2019 Aug 23 12:00:00 AM","2023 Dec 04 07:10:00 PM",,,,,"POINT (-97.816307 30.185926)"
"6,206","VIDEO","OK","NORTHBOUND","THRU / LEFT TURN"," PLEASANT VALLEY RD / SOUTH LAKESHORE BLVD","LOC16-001925","393","2017 Nov 11 12:00:00 AM","2025 Apr 03 07:09:00 PM",,,,,"POINT (-97.717148 30.242514)"
"3,018","LOOP","OK","WESTBOUND","SETBACK, THRU / RIGHT TURN"," STASSNEY LN / DOVE SPRINGS DR","LOC16-003675","745","2017 Jun 23 12:00:00 AM","2023 Dec 17 07:03:00 PM",,,,,"POINT (-97.756798 30.193939)"
"6,788","GRIDSMART","BROKEN","NORTHBOUND","THRU / LEFT TURN, THRU ONLY"," 6TH ST / RED RIVER ST","LOC16-001505","308","2019 Mar 26 12:00:00 AM","2025 Oct 09 07:04:00 PM",,,,,"POINT (-97.73719 30.266476)"
"1,880","VIDEO","OK","EASTBOUND","THRU / RIGHT TURN"," CAMERON RD / FERGUSON LN","LOC16-004545","926","2017 Jun 26 12:00:00 AM","2025 Feb 13 10:50:00 PM",,,,,"POINT (-97.67749 30.345804)"
"1,579","LOOP","OK","EASTBOUND","THRU / RIGHT TURN"," CAPITAL OF TEXAS HWY / 2222 RD","LOC16-004845","991","2017 Jun 28 12:00:00 AM","2024 Jun 20 12:18:00 PM",,,,,"POINT (-97.790527 30.359251)"
"268","VIDEO","OK","EASTBOUND","LEFT TURN"," MARTIN LUTHER KING JR BLVD / BRAZOS ST","LOC16-000375","76",,"2023 Dec 21 02:07:00 PM",,,,,"POINT (-97.736771 30.280294)"
"2,596","LOOP","OK","WESTBOUND","THRU / RIGHT TURN"," WELLS BRANCH PKWY / HEATHERWILDE BLVD","LOC16-004040","821","2017 Jun 23 12:00:00 AM","2025 Apr 23 07:42:00 PM",,,,,"POINT (-97.652969 30.432648)"
